종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
005930,삼성전자,5969782550.0,57691266.0,0.9663880638332463,23195460,40.20618996296597,4206812650490.0,54.0,72900.0,73600.0,73200.0,-0.54,9.09,1.27,-31256766.0,-1384284.0,152816.0,102956.0,-85465.0,-29802875.0,7898171,-8061306.0,-590087599200.0
018260,삼성에스디에스,77377800.0,1948167.0,2.5177337686002965,1308334,67.15717903033979,319427414288.0,17.16,168500.0,170200.0,166000.0,-3.21,11.68,1.56,-1385744.0,25921.0,7819.0,33031.0,6102.0,-1510746.0,76896,-77410.0,-12850060000.0
028260,삼성물산,185591670.0,1726098.0,0.9300514403475112,1145785,66.38006648521694,208268573948.0,20.4,123100.0,123800.0,121600.0,-1.78,9.76,0.74,-1226001.0,-47144.0,-1213.0,2645.0,808.0,-1205651.0,79968,-80216.0,-9754265600.0
032830,삼성생명,200000000.0,3143615.0,1.5718075000000002,2049456,65.19424293369258,195022258210.0,17.0,64600.0,65300.0,62800.0,-3.24,7.12,0.51,-2452218.0,-76605.0,-7079.0,1589.0,-605.0,-2315552.0,397574,-402762.0,-25293453600.0
035420,NAVER,162408594.0,879647.0,0.5416258945016174,200862,22.834386975684566,204400304000.0,48.62,232500.0,234500.0,231500.0,0.22,46.24,1.53,-101779.0,-70540.0,-30.0,-1860.0,10660.0,1959.0,-105984,99083.0,22937714500.0
035720,카카오,444749160.0,4601300.0,1.0345831794263536,633205,13.761436985199834,280920314400.0,26.88,60300.0,61900.0,60800.0,2.7,19.58,2.66,606690.0,-74151.0,52837.0,137450.0,23081.0,-470.0,-1199960,1239895.0,75385616000.0
323410,카카오뱅크,476872137.0,12102465.0,2.5378846992689783,1224947,10.121466990402368,362126136650.0,15.82,27300.0,30800.0,29700.0,9.8,53.71,2.48,667539.0,19964.0,159864.0,283504.0,184120.0,-3636.0,-1866029,1892486.0,56206834200.0
086520,에코프로,26627668.0,379152.0,1.4239023860444706,52942,13.963265392243743,243376390000.0,12.47,625000.0,654000.0,649000.0,4.68,453.53,12.78,56537.0,10391.0,2.0,44576.0,1718.0,,-108823,109479.0,71051871000.0
247540,에코프로비엠,97801344.0,1242703.0,1.270640002656814,79761,6.4183477468067585,381890041000.0,8.27,293500.0,313500.0,306000.0,4.26,106.21,21.92,-26349.0,75656.0,4284.0,-114225.0,4373.0,,-58078,53412.0,16344072000.0
373220,LG에너지솔루션,234000000.0,234974.0,0.10041623931623932,53102,22.59909607020351,97839120500.0,4.78,409500.0,420000.0,415500.0,1.22,125.68,5.19,11156.0,-9600.0,-233.0,33669.0,-40.0,1.0,-63364,64258.0,26699199000.0
005380,현대차,211531506.0,538799.0,0.25471335697860537,97327,18.063693510938215,101089164800.0,33.75,187200.0,189000.0,187000.0,0.16,6.56,0.46,-119424.0,-98014.0,-675.0,-4539.0,558.0,0.0,19825,-22097.0,-4132139000.0
055550,신한지주,512759471.0,955636.0,0.18637120405329383,486042,50.860578714071046,35677318650.0,60.66,37200.0,37850.0,37200.0,1.22,4.4,0.39,-352854.0,-329272.0,11325.0,11434.0,1600.0,482.0,-135091,133188.0,4954593600.0
086790,하나금융지주,292356598.0,1067502.0,0.3651369619508296,364268,34.12340211072204,44221315250.0,68.6,41400.0,41950.0,41250.0,0.24,3.49,0.33,-307718.0,-354286.0,-6761.0,49940.0,9879.0,191.0,-60081,56550.0,2332687500.0
352820,하이브,41652097.0,333502.0,0.8006847770473597,53948,16.176214835293344,86067891000.0,20.72,252500.0,261000.0,256000.0,2.2,202.37,3.82,25022.0,-10849.0,4879.0,23449.0,16051.0,160.0,-79247,78970.0,20216320000.0
000660,SK하이닉스,728002365.0,3594909.0,0.4938045771321086,82609,2.297944120421407,485469304242.0,53.2,132400.0,137100.0,136000.0,1.87,41.95,1.48,84657.0,-79070.0,18540.0,65409.0,73207.0,5695.0,-181682,167266.0,22748176000.0
105560,KB금융,403511072.0,1704375.0,0.4223861792818414,228156,13.386490649064905,87579384905.0,73.0,51500.0,52200.0,51000.0,-0.58,4.66,0.41,-409300.0,-340101.0,8837.0,-42754.0,-3183.0,166.0,179169,-181144.0,-9238344000.0
138040,메리츠금융지주,203372114.0,442340.0,0.21750277916666588,186129,42.078265587557084,26108420500.0,17.19,58300.0,59800.0,58600.0,1.21,6.97,2.17,-138635.0,-124983.0,-4563.0,5234.0,-10230.0,,-48468,47494.0,2783148400.0
065350,신성델타테크,27483948.0,4859417.0,17.680927791014593,185361,3.8144699250959526,286111818300.0,9.53,53800.0,62500.0,61400.0,11.64,97.93,10.11,17484.0,881.0,,16603.0,,,-185271,202845.0,12454683000.0
003530,한화투자증권,214547775.0,60168891.0,28.04451875578761,2381134,3.957417131055316,252089381440.0,6.24,3800.0,4400.0,4400.0,29.99,0.0,0.6,-30713.0,5791.0,15000.0,55061.0,123637.0,,-2323278,2350421.0,10341852400.0
003670,포스코퓨처엠,77463220.0,454458.0,0.5866758443555535,28558,6.283969035642458,147714028000.0,6.7,324000.0,331000.0,322500.0,0.62,211.2,10.1,-2280.0,17810.0,1215.0,-24022.0,1966.0,-303.0,-24683,26278.0,8474655000.0
348370,엔켐,16502364.0,1127247.0,6.830821329598595,93470,8.291882790550785,104371995600.0,6.01,87200.0,96500.0,92500.0,4.88,65.19,5.17,-17371.0,14694.0,-651.0,-18270.0,-3197.0,,-73547,76099.0,7039157500.0
011200,HMM,689039496.0,2503832.0,0.36338004055430806,427037,17.055337578559584,49168769170.0,9.72,19110.0,19860.0,19590.0,2.67,0.95,0.46,16527.0,-306000.0,42860.0,220898.0,-650.0,,-451262,443564.0,8689418760.0
094170,동운아나텍,18952781.0,3696035.0,19.50128057724088,365012,9.875772280294964,84452349490.0,1.57,19890.0,24200.0,23300.0,17.5,0.0,18.99,-4533.0,-4649.0,,116.0,,,-348332,360479.0,8399160700.0
051910,LG화학,70592343.0,243938.0,0.34555872440726326,16367,6.709491756101961,112711868500.0,42.88,458500.0,466000.0,459500.0,-1.08,19.41,1.03,-44960.0,-38743.0,-620.0,9512.0,-1540.0,-70.0,28656,-28593.0,-13138483500.0
041190,우리기술투자,84000000.0,46147470.0,54.937464285714285,863900,1.872041955929545,355999923560.0,1.86,7340.0,8020.0,8020.0,29.98,0.0,1.57,38899.0,38822.0,,42062.0,-42606.0,,-910216,902799.0,7240447980.0
017670,SK텔레콤,218833144.0,489791.0,0.22381938633573717,135752,27.716311651296166,24096538100.0,41.16,49300.0,49500.0,49150.0,0.31,11.94,0.95,-91191.0,-53652.0,3274.0,1678.0,-117.0,0.0,-44729,44561.0,2190173150.0
180640,한진칼,66762279.0,133793.0,0.20040208633381132,79645,59.528525408653664,11120271100.0,18.98,82800.0,83900.0,83000.0,1.47,8.18,2.24,-23088.0,-10809.0,-5235.0,-3258.0,-1027.0,,-50065,56557.0,4694231000.0
033780,KT&G,133822497.0,206354.0,0.1541997830155568,71649,34.72140108745166,18648760930.0,42.72,91000.0,91000.0,90000.0,-0.99,10.6,1.12,-55637.0,-7134.0,-739.0,-1680.0,-5070.0,0.0,-14006,16012.0,1441080000.0
009410,태영건설,38899098.0,33489676.0,86.09370839395814,1597443,4.769956568107736,127013705325.0,3.14,3475.0,4110.0,3765.0,18.77,2.34,0.19,-58.0,2.0,,0.0,,,-1570614,1597385.0,6014154525.0
316140,우리금융지주,751949461.0,1485888.0,0.19760476961097256,438241,29.493541908946032,18633257270.0,37.94,12540.0,12680.0,12470.0,-0.08,2.98,0.32,-386863.0,-430312.0,15357.0,70103.0,6177.0,,-51203,51378.0,640683660.0
207940,삼성바이오로직스,71174000.0,51085.0,0.07177480540646866,7116,13.929724968190271,38572446000.0,10.69,750000.0,765000.0,751000.0,0.67,65.64,5.95,-6198.0,-3827.0,415.0,-1254.0,-35.0,12.0,-463,918.0,689418000.0
377300,카카오페이,134265066.0,5043844.0,3.7566316766268897,99588,1.9744464737608856,285712676350.0,40.12,48500.0,60200.0,58000.0,21.59,142.51,4.27,255256.0,12234.0,27347.0,62594.0,65220.0,109.0,-351924,354844.0,20580952000.0
011170,롯데케미칼,42775419.0,146522.0,0.3425378486649073,32425,22.12978255825064,20275018300.0,25.27,139000.0,140500.0,138200.0,0.36,80.54,0.34,-36839.0,5107.0,-3691.0,5400.0,1471.0,,4339,-4414.0,-610014800.0
034020,두산에너빌리티,640561146.0,1719484.0,0.26843401457259164,289697,16.847903208171754,26288994040.0,14.69,15200.0,15480.0,15150.0,-0.26,0.0,1.36,-202358.0,-134893.0,-4015.0,-9803.0,-19827.0,-2614.0,-88034,87339.0,1323185850.0
086900,메디톡스,7298468.0,87354.0,1.1968813181067588,17500,20.033427204249378,21006117500.0,7.92,238500.0,244000.0,240000.0,1.48,43.49,3.54,-9206.0,-13182.0,10.0,-582.0,4196.0,,-9219,8294.0,1990560000.0
012450,한화에어로스페이스,50630000.0,1217137.0,2.403983804068734,29532,2.4263497042650086,172084484000.0,32.75,136900.0,144300.0,142000.0,4.18,35.82,2.51,143554.0,-19259.0,11443.0,26743.0,54557.0,-483.0,-174124,173086.0,24578212000.0
014680,한솔케미칼,11335195.0,46526.0,0.41045610596024157,18606,39.990542922237026,9850862500.0,36.2,210000.0,214000.0,211500.0,0.24,15.0,3.01,-13047.0,-2067.0,398.0,-4205.0,-309.0,0.0,-6479,5559.0,1175728500.0
361610,SK아이이테크놀로지,71297592.0,207375.0,0.2908583504475158,47044,22.685473176612415,17405808000.0,10.58,83000.0,85300.0,82800.0,-0.24,0.0,2.71,-23426.0,-107.0,5460.0,-53403.0,41.0,52.0,-24114,23618.0,1955570400.0
047810,한국항공우주,97475107.0,629280.0,0.6455802095195443,71813,11.41193109585558,34403793700.0,28.05,55200.0,55600.0,54100.0,-1.99,44.53,3.69,-28702.0,-29854.0,-13384.0,1180.0,7619.0,,-43406,43111.0,2332305100.0
034730,SK,73198329.0,92997.0,0.1270479822018888,23203,24.950267212920846,15239819800.0,23.88,165200.0,165500.0,163800.0,-0.36,8.38,0.42,-26947.0,-9441.0,-891.0,-4256.0,-335.0,0.0,-2279,-3744.0,-613267200.0
005935,삼성전자우,822886700.0,1335660.0,0.1623139613266322,59845,4.48055642903134,79928033500.0,73.06,60300.0,60300.0,59500.0,-0.67,0.0,0.0,-114897.0,3912.0,-33226.0,-37970.0,-3068.0,3300.0,38964,-55052.0,-3275594000.0
277810,레인보우로보틱스,19399858.0,1266983.0,6.530888009592648,19098,1.5073603986793824,230763796100.0,4.17,181000.0,189300.0,174500.0,-1.36,490.17,47.64,4340.0,1852.0,893.0,-927.0,3533.0,,-32520,23438.0,4089931000.0
267260,HD현대일렉트릭,36047135.0,159879.0,0.44352762015622044,36763,22.994264412461924,14541230400.0,21.45,90700.0,93000.0,89600.0,-1.1,19.85,3.92,-46368.0,-12335.0,-3158.0,-4402.0,-17776.0,582.0,5853,-9605.0,-860608000.0
050890,쏠리드,61221640.0,9873508.0,16.127480413788327,488481,4.947390532321441,65020392830.0,6.16,6210.0,6890.0,6650.0,9.02,13.57,1.77,180701.0,-1557.0,4786.0,71066.0,1812.0,,-416524,669182.0,4450060300.0
009520,포스코엠텍,41642703.0,1540729.0,3.699877503148631,106007,6.880314448550004,46123524450.0,2.71,29000.0,30600.0,29950.0,3.45,258.19,10.88,18717.0,10612.0,,-59.0,166.0,,-110435,124724.0,3735483800.0
259960,크래프톤,48362743.0,69914.0,0.14456169287172152,15355,21.962697027776983,14138486700.0,33.28,205500.0,205500.0,201000.0,-0.99,18.84,1.84,-13752.0,-21704.0,394.0,369.0,7577.0,93.0,-1567,1603.0,322203000.0
025980,아난티,90629478.0,3555812.0,3.923460753023426,448137,12.60294413765407,24351011960.0,5.91,6630.0,7000.0,6810.0,3.65,18.92,1.16,189750.0,77529.0,,-110287.0,209316.0,,-638717,637887.0,4344010470.0
030200,KT,257860760.0,518440.0,0.20105424338313438,83199,16.04795154694854,17414206450.0,42.9,33700.0,33850.0,33450.0,-0.74,6.42,0.52,-110128.0,-115304.0,-10005.0,65275.0,-10.0,0.0,27856,-26929.0,-900775050.0
326030,SK바이오팜,78313250.0,153189.0,0.19561057675425297,28265,18.45106371867432,14829258800.0,8.15,97200.0,98400.0,96900.0,-0.51,0.0,23.97,-21548.0,-1721.0,-1725.0,-4253.0,-5760.0,40.0,-8465,6717.0,650877300.0
036930,주성엔지니어링,48249212.0,663449.0,1.3750462909114454,80064,12.067845456093837,22480145000.0,10.27,33700.0,34300.0,34200.0,2.4,15.47,3.38,35250.0,41838.0,-4553.0,-10958.0,3268.0,,-113952,115314.0,3943738800.0
419050,삼기이브이,57196240.0,18220083.0,31.855385948446962,862746,4.735137595147069,59606713560.0,0.61,2905.0,3430.0,3320.0,14.68,20.12,3.65,-13618.0,-6418.0,,,,,-875997,849128.0,2819104960.0
137400,피엔티,22741198.0,160986.0,0.7079046583209908,57375,35.639745070999965,7433814650.0,9.95,45650.0,46750.0,45800.0,0.0,16.94,4.21,-15576.0,8770.0,,-23668.0,1750.0,,-41166,41799.0,1914394200.0
011780,금호석유,28547679.0,72238.0,0.253043338479461,20594,28.508541210996984,8879659400.0,19.6,123900.0,124500.0,122300.0,-1.29,3.28,0.52,-39852.0,-17379.0,-329.0,-1546.0,-15482.0,0.0,19130,-19258.0,-2355253400.0
018290,브이티,35798007.0,910153.0,2.5424683558500893,153301,16.843431818606323,14999669310.0,9.01,16070.0,16750.0,16690.0,4.77,48.8,6.97,12987.0,369.0,6549.0,-12160.0,18270.0,,-171951,166288.0,2775346720.0
060280,큐렉소,40955990.0,2315056.0,5.652545573919713,124596,5.381986440068837,44399709260.0,2.65,19170.0,19600.0,18990.0,2.76,0.0,9.05,76029.0,16738.0,4165.0,63272.0,-602.0,,-211043,200625.0,3809868750.0
000720,현대건설,111355765.0,403317.0,0.36218780410695395,66626,16.519511947178025,13930919350.0,22.98,34750.0,34900.0,34350.0,-1.01,9.44,0.5,-80349.0,-99977.0,5890.0,41660.0,-181.0,,13192,-13723.0,-471385050.0
005940,NH투자증권,331665921.0,364717.0,0.10996517185134617,221822,60.8203072519241,3657824450.0,15.97,10030.0,10090.0,9980.0,0.0,11.33,0.46,-125150.0,-77746.0,9890.0,-54664.0,-290.0,0.0,-96673,96672.0,964786560.0
028050,삼성엔지니어링,196000000.0,595330.0,0.3037397959183673,88739,14.905850536677137,14971272900.0,50.56,25400.0,25500.0,25000.0,-1.38,7.37,1.82,-142560.0,-134278.0,3178.0,-2546.0,3681.0,-13119.0,54424,-53821.0,-1345525000.0
304100,솔트룩스,11928792.0,671543.0,5.629597699414996,67117,9.994445627457958,21471063200.0,1.04,33100.0,33350.0,31700.0,-3.94,0.0,7.5,-32606.0,-18751.0,-3185.0,-5646.0,-8310.0,,-34570,34511.0,1093998700.0
016360,삼성증권,89300000.0,257623.0,0.288491601343785,57795,22.4339441742391,9480005800.0,34.66,37200.0,37300.0,36500.0,-0.95,7.72,0.53,-99379.0,-66652.0,431.0,-10073.0,2842.0,,41537,-41584.0,-1517816000.0
005387,현대차2우B,36120597.0,52766.0,0.14608285682542843,19056,36.114164424060945,5846274100.0,60.97,110100.0,111300.0,110900.0,0.73,0.0,0.0,-1924.0,994.0,1055.0,-1263.0,31.0,,-16260,17132.0,1899938800.0
388870,파로스아이바이오,12918962.0,1379904.0,10.681229652970572,127596,9.24673020731877,22336546550.0,0.0,15140.0,16750.0,16640.0,9.55,0.0,10.81,108656.0,13680.0,12994.0,32398.0,49584.0,,-262836,236252.0,3931233280.0
001570,금양,58050037.0,342969.0,0.5908161608923694,20094,5.858838553921783,34956004300.0,8.46,101900.0,103500.0,101200.0,-0.59,0.0,46.25,-18357.0,-18301.0,-13.0,8.0,-51.0,,-1773,1737.0,175784400.0
036570,엔씨소프트,21954022.0,132159.0,0.6019808124452093,9222,6.977958368329058,29594342561.0,39.62,222500.0,226000.0,223000.0,0.68,10.39,1.42,-10308.0,2023.0,-481.0,736.0,-1499.0,0.0,1308,-1086.0,-242178000.0
101360,에코앤드림,11415283.0,380818.0,3.3360364346639497,86198,22.63495948195726,8590285700.0,1.8,21000.0,23050.0,22800.0,9.35,3257.14,2.99,-36763.0,1490.0,-45.0,11792.0,,,-54706,49435.0,1127118000.0
021080,에이티넘인베스트,48000000.0,10840510.0,22.584395833333335,527013,4.861514818029779,37562041815.0,4.27,3320.0,3640.0,3590.0,15.43,5.98,1.01,5286.0,7520.0,,0.0,-2234.0,,-544289,532299.0,1910953410.0
457190,이수스페셜티케미컬,5598773.0,49719.0,0.8880338602761711,10690,21.500834690963213,8615419600.0,4.04,170700.0,175500.0,173000.0,1.29,0.0,0.0,510.0,28.0,,507.0,-34.0,,-11025,11200.0,1937600000.0
059210,메타바이오메드,23862351.0,2062412.0,8.642953915144405,404578,19.616740011210176,9236177055.0,7.67,4140.0,4650.0,4515.0,9.06,39.26,1.7,-17463.0,-24044.0,,-246.0,6827.0,,-440817,387115.0,1747824225.0
012330,현대모비스,93655094.0,123793.0,0.13217967620640048,8150,6.58357096120136,26847863000.0,39.03,218000.0,218500.0,216000.0,-0.46,7.95,0.53,-45306.0,-29662.0,-3112.0,-3675.0,-555.0,5.0,36206,-37156.0,-8025696000.0
138930,BNK금융지주,322088438.0,753104.0,0.23381901091401486,238541,31.674376978478403,5307608470.0,34.2,7030.0,7070.0,7030.0,0.43,2.92,0.23,673.0,-101648.0,3312.0,21873.0,2965.0,84000.0,-142075,239214.0,1681674420.0
003000,부광약품,71063049.0,1583447.0,2.228228344100462,214855,13.568815375569882,12165710910.0,5.32,7410.0,7890.0,7730.0,4.04,0.0,2.01,-8198.0,15721.0,20903.0,40796.0,351.0,,-198337,206657.0,1597458610.0
355390,크라우드웍스,4046008.0,917734.0,22.682456386640855,44227,4.819152390561971,35015304550.0,2.85,34650.0,40900.0,40050.0,13.62,0.0,0.0,42648.0,6514.0,1674.0,20420.0,13910.0,,-91007,86875.0,3479343750.0
178320,서진시스템,37580642.0,812788.0,2.162783701247041,80350,9.885726659350286,16289924370.0,5.6,19450.0,20500.0,19740.0,2.28,459.07,1.37,55868.0,46474.0,,8899.0,-15656.0,,-160703,136218.0,2688943320.0
211270,AP위성,15082304.0,1926771.0,12.775044184230739,89706,4.655768640902318,35325231120.0,1.92,17610.0,18820.0,18490.0,4.46,64.43,3.08,45489.0,-2913.0,,32925.0,15477.0,,-124822,135195.0,2499755550.0
241560,두산밥캣,100249166.0,244460.0,0.24385240272223313,34479,14.104147917859772,11250154700.0,39.88,46300.0,46750.0,46000.0,0.0,7.16,0.92,-39852.0,-9643.0,3520.0,4921.0,-150.0,,5378,-5373.0,-247158000.0
039030,이오테크닉스,12319550.0,155178.0,1.2596076967097014,9573,6.1690445810617485,24989284100.0,19.33,158400.0,162900.0,161200.0,2.68,25.62,3.66,36453.0,23440.0,2035.0,4678.0,2712.0,107.0,-42415,46026.0,7419391200.0
