종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
052690,한전기술,38220000.0,908539.0,2.377129774986918,824677,90.76957620971692,57639287900.0,6.34,67700.0,68100.0,66200.0,-2.36,140.25,4.63,-298747.0,-267065.0,-207.0,-3988.0,-3224.0,,8367,525930.0,34816566000.0
011200,HMM,689039496.0,6896073.0,1.0008240514561157,2380104,34.513903782631076,132638365003.0,9.97,19700.0,20600.0,20000.0,1.01,0.97,0.47,291662.0,-32742.0,18562.0,79262.0,-3119.0,,-231039,2671766.0,53435320000.0
207940,삼성바이오로직스,71174000.0,86457.0,0.12147272880546267,34742,40.18413777947419,68758223000.0,10.95,797000.0,808000.0,788000.0,-1.38,68.87,6.24,-13998.0,-7049.0,80.0,-4733.0,-2010.0,-86.0,-20115,20744.0,16346272000.0
055550,신한지주,512759471.0,2481575.0,0.4839647320722039,518419,20.89072464060123,99344065200.0,61.03,38900.0,40450.0,40050.0,2.69,4.74,0.42,701903.0,114038.0,73957.0,246008.0,18470.0,-10000.0,-1171872,1220322.0,48873896100.0
080220,제주반도체,34442833.0,15327485.0,44.50123193989298,603810,3.939393840542007,492900380800.0,0.0,31050.0,34850.0,33800.0,10.1,47.88,7.98,-38144.0,-328.0,,,-37816.0,,-616233,565666.0,19119510800.0
005935,삼성전자우,822886700.0,1047642.0,0.12731303106490846,236666,22.590350520502234,63082500100.0,73.2,60800.0,60800.0,60600.0,0.0,0.0,0.0,-78253.0,-33527.0,-2345.0,36224.0,-40725.0,0.0,-156479,158413.0,9599827800.0
086520,에코프로,26627668.0,378546.0,1.4216265577593952,26517,7.004961087952323,190511891500.0,13.4,508000.0,513000.0,506000.0,-0.39,353.6,9.96,2819.0,1508.0,-967.0,1269.0,62.0,-221.0,-29732,29336.0,14844016000.0
316140,우리금융지주,751949461.0,2736620.0,0.3639366928145188,878868,32.11509087852899,35469779940.0,38.12,12780.0,13030.0,13000.0,1.56,3.1,0.33,573769.0,27644.0,132363.0,301765.0,40313.0,,-1402168,1452637.0,18884281000.0
086790,하나금융지주,292356598.0,2131534.0,0.7290870172186091,239194,11.22168353870968,93762066450.0,68.8,42600.0,44400.0,43600.0,1.63,3.69,0.35,575816.0,-25741.0,89023.0,182934.0,127344.0,-21996.0,-779073,815010.0,35534436000.0
035420,NAVER,162408594.0,380731.0,0.23442786531358062,45031,11.827510762191679,82856574000.0,48.4,219000.0,219500.0,218000.0,0.0,43.54,1.44,-25065.0,-12271.0,-2798.0,-13794.0,8667.0,1004.0,-26923,19966.0,4352588000.0
272210,한화시스템,188919389.0,1985791.0,1.051131390224854,577589,29.08609214162014,33611199450.0,5.12,17350.0,17380.0,16870.0,-2.54,0.0,1.58,-556348.0,-13881.0,-20886.0,-53474.0,-332612.0,-15000.0,-12236,21241.0,358335670.0
259960,크래프톤,48364493.0,157157.0,0.32494292868944163,39111,24.886578389763102,32841976000.0,33.38,206000.0,212500.0,207500.0,1.72,19.45,1.9,32445.0,6348.0,7083.0,1847.0,6910.0,,-62280,71556.0,14847870000.0
247540,에코프로비엠,97801344.0,808713.0,0.8268935445304311,32976,4.077589948473686,192896170500.0,8.37,241500.0,244500.0,239000.0,-0.21,82.96,17.12,-77582.0,-57774.0,,-1521.0,-18588.0,,39143,-44606.0,-10660834000.0
018260,삼성에스디에스,77377800.0,261432.0,0.3378643486891589,45948,17.575507206462866,41262462620.0,18.53,162200.0,162500.0,158600.0,-3.0,11.15,1.49,-37412.0,-6149.0,-8157.0,-13787.0,-5903.0,,-7730,8536.0,1353809600.0
105560,KB금융,403511072.0,1825246.0,0.45234099549070117,129211,7.079100570553229,95620227500.0,72.7,51400.0,53000.0,52100.0,1.36,4.76,0.42,238902.0,-71005.0,72838.0,-15701.0,61064.0,12211.0,-356146,368113.0,19178687300.0
034220,LG디스플레이,357815700.0,2935585.0,0.8204181649938781,468029,15.943295799644705,40571801410.0,20.7,13950.0,14190.0,13740.0,-1.22,0.0,0.5,60059.0,-52778.0,36684.0,-123069.0,1879.0,0.0,-529618,528088.0,7255929120.0
015760,한국전력,641964077.0,874907.0,0.1362859747680243,329276,37.63554297771077,16062053520.0,13.93,18270.0,18450.0,18390.0,0.66,0.0,0.29,-175005.0,22970.0,-14749.0,31389.0,36502.0,,-153573,154271.0,2837043690.0
001440,대한전선,124447300.0,11124474.0,8.939104343766397,522888,4.700339090189792,120586626980.0,5.83,10080.0,11310.0,10790.0,9.99,59.94,1.54,29996.0,2414.0,4126.0,3093.0,12868.0,,-575265,552884.0,5965618360.0
