종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
207940,삼성바이오로직스,71174000.0,147117.0,0.2067004805125467,62657,42.58991143103788,120457186000.0,11.1,800000.0,829000.0,823000.0,2.88,71.93,6.52,5849.0,-6330.0,335.0,5694.0,2131.0,-167.0,-66479,68506.0,56380438000.0
000270,기아,402044203.0,3463949.0,0.861584117903573,477757,13.79226426255121,347500764800.0,39.47,101000.0,103600.0,98000.0,-1.9,7.26,1.0,-22697.0,11578.0,11485.0,3071.0,-17489.0,-22977.0,-627471,455060.0,44595880000.0
028300,HLB,130530462.0,7722178.0,5.915996834516682,600050,7.770476153230345,529725735700.0,17.94,66300.0,70900.0,69800.0,10.62,0.0,13.9,-44605.0,-54713.0,-3000.0,5533.0,-1954.0,,-584457,555445.0,38770061000.0
030520,한글과컴퓨터,24179744.0,4714356.0,19.497129498145224,742738,15.754813594900344,121183637450.0,5.64,24750.0,27100.0,26900.0,10.02,13.66,2.0,-345576.0,-61382.0,,-60261.0,-223931.0,,-369204,397162.0,10683657800.0
035720,카카오,444849878.0,2011521.0,0.45217973511504483,344661,17.13434759070375,109234730000.0,26.78,55900.0,56000.0,54300.0,-1.81,17.48,2.37,-378325.0,82030.0,-67384.0,-262020.0,-31172.0,-3563.0,70693,-33664.0,-1827955200.0
012450,한화에어로스페이스,50630000.0,425534.0,0.8404779774837053,81024,19.040546701321166,56669068100.0,31.81,135500.0,137200.0,131900.0,-2.66,33.27,2.33,-98388.0,-31641.0,-2656.0,-14089.0,-42889.0,534.0,18488,-17364.0,-2290311600.0
012330,현대모비스,93655094.0,321357.0,0.3431281591581127,47193,14.685536646159877,66985903000.0,39.06,205500.0,211000.0,206500.0,1.98,7.6,0.5,49482.0,13205.0,-1398.0,19194.0,9963.0,2564.0,-94927,96675.0,19963387500.0
003670,포스코퓨처엠,77463220.0,592699.0,0.7651360219727504,28403,4.792145760326911,155414989000.0,7.24,265500.0,271000.0,254000.0,-1.55,166.34,7.96,-12106.0,-11853.0,-1368.0,-4838.0,585.0,0.0,-14366,16297.0,4139438000.0
259960,크래프톤,48364493.0,239273.0,0.49472864318044235,31784,13.28357148529086,52891371000.0,33.53,215000.0,226500.0,218500.0,2.82,20.49,2.01,22458.0,4115.0,4522.0,-1171.0,7449.0,-37.0,-33780,54242.0,11851877000.0
078930,GS,92915378.0,431248.0,0.46412984511562766,157359,36.48921270359515,19052015150.0,23.95,42650.0,45700.0,44400.0,4.1,1.96,0.33,95845.0,31332.0,26313.0,16884.0,17913.0,388.0,-242998,253204.0,11242257600.0
105560,KB금융,403511072.0,1842740.0,0.45667644034312893,121208,6.577596405352898,103189577700.0,72.9,55900.0,56700.0,55900.0,0.54,5.1,0.45,133533.0,24089.0,45744.0,24982.0,-40376.0,-11.0,-238501,254741.0,14240021900.0
032640,LG유플러스,436611361.0,1003654.0,0.2298735419301194,658511,65.61135610479309,10199037740.0,38.7,10130.0,10190.0,10160.0,0.99,6.58,0.53,-60252.0,26473.0,-14068.0,-28113.0,3737.0,,-593273,598259.0,6078311440.0
079550,LIG넥스원,22000000.0,312101.0,1.4186409090909091,61295,19.63947568255148,33013168500.0,13.14,108400.0,109100.0,105600.0,-2.67,18.72,2.46,-79987.0,2132.0,-9850.0,-25242.0,-34928.0,-10639.0,24737,-18692.0,-1973875200.0
