종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
005930,삼성전자,5969782550.0,19673375.0,0.3295492731138088,1818202,9.241942473012383,1484936123888.0,54.28,75900.0,76000.0,75100.0,0.54,9.32,1.3,-163819.0,-561319.0,-58216.0,174490.0,-15451.0,-28.0,-1726794,1654383.0,124244163300.0
000660,SK하이닉스,728002365.0,3784276.0,0.5198164431787251,525285,13.880726458640966,543785154385.0,53.22,145200.0,145400.0,142600.0,0.92,43.99,1.55,-202658.0,-191375.0,-5466.0,64824.0,-68173.0,721.0,-303526,322627.0,46006610200.0
207940,삼성바이오로직스,71174000.0,136637.0,0.1919760024728131,81990,60.00570855624757,107397628000.0,10.79,775000.0,793000.0,793000.0,2.99,69.31,6.28,-3230.0,-3012.0,552.0,1522.0,4044.0,-8.0,-71435,78760.0,62456680000.0
005490,POSCO홀딩스,84571230.0,997443.0,1.17941172192955,147531,14.790920383420406,402373838500.0,27.28,412000.0,416000.0,398500.0,-3.86,9.61,0.58,19393.0,45898.0,-5917.0,-2958.0,-1799.0,100.0,-118058,166924.0,66519214000.0
007660,이수페타시스,63246419.0,15382054.0,24.320829927145756,1326551,8.624017312642382,493905640800.0,8.14,29150.0,34000.0,34000.0,21.86,20.99,9.67,346517.0,7176.0,33331.0,177933.0,57570.0,-2280.0,-1815863,1673068.0,56884312000.0
086520,에코프로,26627668.0,561105.0,2.1072254618767214,74460,13.27024353730585,294936015000.0,12.46,550000.0,556000.0,515000.0,-7.37,359.89,10.14,14905.0,19489.0,-105.0,-2561.0,-525.0,,-85193,89365.0,46022975000.0
003670,포스코퓨처엠,77463220.0,671498.0,0.8668604274389834,57084,8.500993301543714,179536924000.0,7.1,278000.0,279500.0,263000.0,-5.57,172.23,8.24,13617.0,12732.0,-4885.0,-4244.0,6.0,17.0,-69347,70701.0,18594363000.0
001570,금양,58050037.0,859776.0,1.4810946632127038,113951,13.253568371296709,73043762600.0,8.55,87100.0,89200.0,83000.0,-7.57,0.0,37.93,-1777.0,974.0,-877.0,-2098.0,64.0,,-113001,112174.0,9310442000.0
065350,신성델타테크,27483948.0,7547574.0,27.46175331142382,115433,1.529405342696872,566857663000.0,11.13,67300.0,81200.0,73900.0,18.24,117.86,12.16,2575.0,1440.0,,935.0,0.0,,-130154,118008.0,8720791200.0
348370,엔켐,16608501.0,2289896.0,13.787493525153174,85291,3.7246669717751377,243776549500.0,7.58,107000.0,111000.0,103400.0,-1.62,72.87,5.78,-68575.0,-5979.0,-1753.0,-51506.0,5635.0,-930.0,-20245,16716.0,1728434400.0
047050,포스코인터내셔널,175922788.0,974135.0,0.5537287187604143,160058,16.430782181114527,47540546000.0,6.51,50800.0,50800.0,48700.0,-2.99,10.19,1.51,10212.0,41178.0,-668.0,-5576.0,-1301.0,,-169243,170270.0,8292149000.0
095340,ISC,21197058.0,598819.0,2.825009961288024,79329,13.247575644727371,52623289800.0,8.42,86500.0,90600.0,89200.0,6.06,35.31,5.55,43762.0,-41137.0,15189.0,26507.0,13068.0,,-127706,123091.0,10979717200.0
018260,삼성에스디에스,77377800.0,181631.0,0.23473270111065447,38602,21.252979942851166,29909962200.0,18.52,166700.0,168100.0,164700.0,-1.14,11.58,1.55,1256.0,10712.0,-1178.0,3980.0,540.0,,-38928,39858.0,6564612600.0
064350,현대로템,109142293.0,1456758.0,1.3347328152616327,221954,15.236161393999554,39690176650.0,10.6,26800.0,27550.0,27450.0,3.78,15.15,1.97,346851.0,73764.0,-4698.0,108812.0,129859.0,9000.0,-574618,568805.0,15613697250.0
450080,에코프로머티,68985218.0,1360571.0,1.9722645509361152,29917,2.1988562155153977,273521381600.0,1.06,212000.0,214500.0,192000.0,-11.32,653.06,35.37,-25481.0,-16693.0,-9150.0,-2787.0,-21294.0,,-7832,4436.0,851712000.0
039030,이오테크닉스,12319550.0,656148.0,5.326071163313594,29321,4.468656461651944,130055726600.0,19.9,194000.0,207500.0,195900.0,6.53,31.13,4.45,-24074.0,-36030.0,4511.0,1582.0,284.0,-1618.0,43399,5247.0,1027887300.0
454910,두산로보틱스,64819980.0,1079760.0,1.6657826799699724,68579,6.35131881158776,90361798400.0,2.13,86300.0,86600.0,83000.0,-2.47,0.0,94.32,-43603.0,116.0,-111.0,-4635.0,-6291.0,,-19560,24976.0,2073008000.0
028670,팬오션,534569512.0,5023321.0,0.9396946303963551,1425595,28.379532185978164,18638382995.0,13.39,3655.0,3745.0,3710.0,2.34,2.93,0.44,-173837.0,67375.0,-413.0,33683.0,30477.0,,-1265231,1251758.0,4644022180.0
