종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
005930,삼성전자,5969782550.0,13976521.0,0.23412110714149884,2945013,21.071144958033546,1040949182849.0,54.38,73800.0,75200.0,74400.0,1.36,9.23,1.29,-417687.0,-300010.0,10921.0,167160.0,-42976.0,-2561.0,-2480369,2527326.0,188033054400.0
000270,기아,402044203.0,3200604.0,0.7960826138313951,500223,15.629018772706651,314718212200.0,39.34,94700.0,100000.0,99900.0,5.83,7.4,1.02,289562.0,79786.0,29734.0,125396.0,-1891.0,920.0,-973289,789785.0,78899521500.0
005380,현대차,211531506.0,1199045.0,0.5668399108357882,250799,20.91656276453344,231795528239.0,33.72,187300.0,197300.0,195600.0,4.43,6.86,0.48,154522.0,11705.0,22223.0,39827.0,5051.0,1513.0,-395899,405321.0,79280787600.0
207940,삼성바이오로직스,71174000.0,194799.0,0.27369404557844157,39708,20.384088214005207,157269959000.0,11.05,800000.0,815000.0,800000.0,3.49,69.92,6.34,24965.0,-8780.0,5714.0,19937.0,3318.0,116.0,-63106,64673.0,51738400000.0
086790,하나금융지주,292356598.0,2090889.0,0.7151844748172914,599583,28.675984234457207,96502286900.0,68.94,45050.0,46750.0,46400.0,3.46,3.93,0.37,379255.0,20742.0,96805.0,147008.0,32500.0,-6813.0,-510036,978838.0,45418083200.0
105560,KB금융,403511072.0,2107798.0,0.5223643528671252,399247,18.941426075933272,116180650700.0,72.75,53900.0,56000.0,55600.0,3.35,5.08,0.45,397070.0,-5202.0,50623.0,162852.0,33103.0,-144.0,-771838,796317.0,44275225200.0
454910,두산로보틱스,64819980.0,1219919.0,1.882010762730874,222242,18.217766917311724,90062977700.0,2.0,76300.0,77200.0,73600.0,-3.54,0.0,83.64,-120243.0,405.0,-3287.0,-37510.0,-5870.0,-4000.0,-101072,101999.0,7507126400.0
015760,한국전력,641964077.0,3183607.0,0.4959166897433732,768418,24.136710341446037,62764514170.0,14.13,19230.0,19970.0,19920.0,3.75,0.0,0.32,1049435.0,240773.0,118519.0,139744.0,108506.0,,-1810172,1817853.0,36211631760.0
042700,한미반도체,97339302.0,1888189.0,1.9398012531464424,241251,12.776845961924362,113814464200.0,13.98,58600.0,62000.0,59800.0,1.87,63.68,14.92,-3899.0,-43092.0,5527.0,24432.0,7235.0,-644.0,-234167,237352.0,14193649600.0
316140,우리금융지주,751949461.0,2925020.0,0.38899156814476393,987083,33.746196607202684,39194352090.0,38.28,13130.0,13560.0,13480.0,2.67,3.22,0.34,411291.0,34828.0,50376.0,55236.0,169658.0,,-1202808,1398374.0,18850081520.0
