종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
005930,삼성전자,5969782550.0,15324439.0,0.25670012050941454,636874,4.155936801340656,1173912901977.0,54.03,76100.0,77300.0,76600.0,-0.52,9.51,1.32,-2491314.0,-2108078.0,-8521.0,-184565.0,-118049.0,138.0,1848160,-1854440.0,-142050104000.0
035420,NAVER,162408594.0,538911.0,0.3318241890573845,103802,19.261436489513112,120372067000.0,48.38,221000.0,225500.0,223000.0,0.45,44.54,1.47,-62042.0,-62658.0,5036.0,-2972.0,5367.0,133.0,-41893,41760.0,9312480000.0
086520,에코프로,26627668.0,351924.0,1.3216478438892958,27624,7.849422034302861,221451597000.0,11.78,606000.0,643000.0,634000.0,2.26,443.05,12.49,-8442.0,-10212.0,-56.0,3206.0,-81.0,,-18275,19182.0,12161388000.0
005935,삼성전자우,822886700.0,1001516.0,0.12170764213347962,257023,25.66339429424992,61401313464.0,72.94,60800.0,61700.0,61700.0,0.82,0.0,0.0,-5669.0,-3656.0,-73.0,-7731.0,1358.0,0.0,-249132,251354.0,15508541800.0
003670,포스코퓨처엠,77463220.0,437701.0,0.5650436426474397,45780,10.459194747099048,144135398000.0,6.35,323000.0,334000.0,330500.0,-0.45,216.44,10.35,-31192.0,-11670.0,-807.0,-13793.0,-673.0,54.0,-15803,14588.0,4821334000.0
000270,기아,402044203.0,1589156.0,0.39526897493905666,157505,9.911235901321204,147043460100.0,39.3,93000.0,93400.0,92900.0,-0.96,6.88,0.95,-412356.0,-229360.0,-22007.0,-67597.0,-22874.0,1774.0,254501,-254851.0,-23675657900.0
207940,삼성바이오로직스,71174000.0,77785.0,0.10928850422907241,18040,23.19213215915665,59734262000.0,10.59,782000.0,784000.0,770000.0,-2.16,67.3,6.1,-18659.0,-14838.0,-1339.0,-1333.0,-849.0,14.0,224,-619.0,-476630000.0
033780,KT&G,133822497.0,255936.0,0.19125035456482328,151986,59.38437734433608,23037682200.0,42.62,89000.0,90400.0,90400.0,0.56,10.65,1.13,-58462.0,-53937.0,1716.0,-1283.0,-4004.0,-49.0,-80420,93524.0,8454569600.0
005490,POSCO홀딩스,84571230.0,484710.0,0.5731381700372573,28868,5.955726104268531,227820371500.0,27.25,465000.0,476000.0,469500.0,-0.63,11.33,0.68,-59701.0,-40959.0,3556.0,-7369.0,-4260.0,7.0,28927,-30833.0,-14476093500.0
051910,LG화학,70592343.0,147635.0,0.20913741310442124,25322,17.151759406644764,71072575500.0,42.94,476000.0,486000.0,481000.0,0.1,20.32,1.08,-24355.0,-23658.0,-366.0,984.0,-1982.0,0.0,-3015,967.0,465127000.0
373220,LG에너지솔루션,234000000.0,131106.0,0.056028205128205125,24313,18.544536481930653,54480683500.0,4.7,414000.0,419000.0,419000.0,0.72,126.74,5.23,-34671.0,-17609.0,111.0,-12130.0,-3899.0,43.0,9940,-10358.0,-4340002000.0
141080,레고켐바이오,27442344.0,1378705.0,5.024005966837235,172398,12.504342843465427,81859384200.0,11.85,61000.0,62000.0,58100.0,-6.29,0.0,6.75,-64740.0,-6412.0,-6440.0,-6866.0,4839.0,,-84819,107658.0,6254929800.0
068760,셀트리온제약,39610243.0,1921539.0,4.851116414509247,76721,3.9926850300722494,239233934000.0,9.25,128400.0,129300.0,122300.0,-5.27,194.75,14.17,6746.0,4667.0,332.0,-1207.0,-13563.0,,-91419,83467.0,10208014100.0
010950,S-Oil,112582792.0,457573.0,0.4064324501740905,124493,27.207243434380963,31679298900.0,76.94,67900.0,69700.0,69600.0,3.57,3.85,0.92,86385.0,-8494.0,11454.0,18981.0,3336.0,0.0,-207222,210878.0,14677108800.0
005380,현대차,211531506.0,505979.0,0.2391979377294274,44690,8.832382371600403,96218829900.0,33.78,192000.0,192800.0,190000.0,-1.96,6.66,0.47,-233039.0,-81733.0,-9102.0,-25102.0,-50800.0,-218.0,182740,-188349.0,-35786310000.0
055550,신한지주,515504189.0,887191.0,0.17210160827616475,214628,24.19185947558079,33156057100.0,60.25,37950.0,38000.0,37300.0,-1.58,4.41,0.39,-390700.0,-173548.0,-2848.0,-91781.0,-10394.0,-330.0,174462,-176072.0,-6567485600.0
011200,HMM,689039496.0,10458014.0,1.517766987336819,350919,3.355503253294555,218448763620.0,9.55,20550.0,21600.0,20500.0,2.91,1.0,0.48,-147342.0,-80490.0,34432.0,175617.0,49512.0,,-200863,203577.0,4173328500.0
417200,LS머트리얼즈,67652659.0,5852623.0,8.650987391345549,146377,2.501049529416127,281909732500.0,0.7,46600.0,49800.0,49200.0,5.58,300.0,26.21,29091.0,-784.0,0.0,29875.0,,,-193437,175468.0,8633025600.0
450080,에코프로머티,68985218.0,1266301.0,1.835612087215554,31250,2.4678176831574796,263677731600.0,1.14,201000.0,213500.0,213000.0,3.4,724.49,39.24,-308.0,-5999.0,1559.0,4506.0,-7203.0,,-37566,30942.0,6590646000.0
017670,SK텔레콤,218833144.0,284608.0,0.1300570812984344,118799,41.74127220598156,14064657300.0,41.12,49300.0,49600.0,49450.0,0.2,12.01,0.95,-121726.0,-76609.0,-572.0,-5537.0,-7043.0,-39000.0,2973,-2927.0,-144740150.0
