종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
450080,에코프로머티,68985218.0,2185045.0,3.167410444365052,103488,4.736195364397529,485831321000.0,1.34,219000.0,230000.0,220500.0,2.08,750.0,40.62,80363.0,2263.0,3864.0,6556.0,8244.0,,-181817,183851.0,40539145500.0
005935,삼성전자우,822886700.0,1682843.0,0.2045048242971967,274037,16.284169111438203,103246406400.0,73.0,62500.0,62500.0,61000.0,-1.29,0.0,0.0,-308051.0,-19695.0,-118861.0,-16246.0,-48184.0,-781.0,-36303,-34014.0,-2074854000.0
065350,신성델타테크,27483948.0,4250595.0,15.46573658194958,237833,5.595287248020571,298332259300.0,9.1,69100.0,74300.0,69000.0,-4.83,110.05,11.36,-2717.0,-1990.0,,-17.0,-710.0,,-235291,235116.0,16223004000.0
000660,SK하이닉스,728002365.0,3473806.0,0.4771696037003946,104229,3.000426621406031,480449816300.0,53.3,139000.0,139500.0,137400.0,1.03,42.38,1.49,233429.0,78783.0,13363.0,-23259.0,167887.0,14000.0,-324975,337658.0,46394209200.0
003490,대한항공,368220661.0,1286376.0,0.3493492180766033,615058,47.81323656535881,30081918608.0,16.44,23050.0,23600.0,23600.0,3.96,4.93,0.97,114260.0,13340.0,22740.0,48709.0,1876.0,12138.0,-713205,729318.0,17211904800.0
035720,카카오,444749160.0,2166853.0,0.48720789039826407,220305,10.167048710733955,127359290500.0,26.97,58500.0,59200.0,58700.0,2.62,18.9,2.56,506773.0,108968.0,68525.0,41721.0,138582.0,0.0,-743820,727078.0,42679478600.0
035420,NAVER,162408594.0,835945.0,0.5147172199520427,52371,6.264885847753142,192638796500.0,48.5,229500.0,233000.0,229500.0,1.32,45.84,1.51,89577.0,37897.0,3958.0,19030.0,21757.0,-264.0,-142978,141948.0,32577066000.0
068270,셀트리온,146402770.0,617985.0,0.42211291494006564,56724,9.178863564649628,128673909500.0,20.95,211000.0,214000.0,206000.0,0.0,54.92,7.12,20049.0,21190.0,-4151.0,-11310.0,1601.0,,-75391,76773.0,15815238000.0
454910,두산로보틱스,64819980.0,1255666.0,1.9371588821841659,113615,9.048186380773231,128288402100.0,1.37,103500.0,104300.0,102300.0,-0.97,0.0,116.25,-53105.0,-29623.0,-279.0,-8955.0,-16248.0,-2000.0,-50340,60510.0,6190173000.0
439090,마녀공장,16378260.0,726032.0,4.4329006866419265,369654,50.91428476981731,16421003900.0,0.06,23550.0,23750.0,23600.0,0.64,19.27,6.48,29876.0,99.0,,,29777.0,,-879,399530.0,9428908000.0
047560,이스트소프트,11407932.0,4994134.0,43.77773289672484,320059,6.408698685297591,125463034900.0,1.57,24500.0,26700.0,25750.0,0.39,0.0,4.93,43830.0,6295.0,,9710.0,28257.0,,-165915,363889.0,9370141750.0
348370,엔켐,16502364.0,652421.0,3.953500237905309,85164,13.053534450914364,56839098200.0,4.9,85200.0,88500.0,88000.0,4.39,62.02,4.92,-87479.0,-88822.0,381.0,5548.0,-7052.0,,95649,-2315.0,-203720000.0
067160,아프리카TV,11494767.0,2407427.0,20.943678110221807,66374,2.7570514079970025,248530280100.0,22.77,97800.0,108200.0,106800.0,8.1,19.61,4.83,78826.0,5830.0,8384.0,19810.0,20444.0,0.0,-143019,145200.0,15507360000.0
180640,한진칼,66762279.0,187230.0,0.2804427931527023,73738,39.38364578326123,15220238000.0,18.81,79900.0,82600.0,80700.0,3.59,7.96,2.18,20112.0,2975.0,374.0,647.0,-295.0,,-23221,93850.0,7573695000.0
042700,한미반도체,97339302.0,909403.0,0.934260860017262,96755,10.63939749484002,54160787100.0,13.43,59900.0,60500.0,58700.0,1.03,62.51,14.65,-13315.0,14511.0,1634.0,-12920.0,2654.0,0.0,-86358,83440.0,4897928000.0
034730,SK,73198329.0,87406.0,0.11940982969706863,34119,39.03507768345422,14787238600.0,23.83,168400.0,170300.0,168900.0,1.44,8.64,0.43,-13642.0,5954.0,-468.0,-1992.0,-1834.0,0.0,-19724,20477.0,3458565300.0
445090,에이직랜드,10678404.0,2467227.0,23.10482914862558,110407,4.474942921749802,130144984600.0,7.44,51500.0,55300.0,53900.0,9.11,57.52,92.93,141991.0,34937.0,-253.0,29753.0,77576.0,,217154,252398.0,13604252200.0
095340,ISC,21197058.0,593920.0,2.801898263428821,63931,10.764244342672413,49967749700.0,7.92,83500.0,87100.0,81600.0,4.48,32.3,5.07,41061.0,11360.0,-524.0,6380.0,14520.0,,-108586,104992.0,8567347200.0
322510,제이엘케이,16167712.0,1511209.0,9.347080155806834,238278,15.767375657503363,34525800450.0,0.82,21400.0,24300.0,23300.0,12.02,0.0,21.03,43784.0,18764.0,-20774.0,16795.0,28999.0,,-299625,282062.0,6572044600.0
036570,엔씨소프트,21954022.0,74711.0,0.34030666453736813,24371,32.62036380184979,16687747500.0,39.47,221500.0,225000.0,224000.0,2.52,10.44,1.42,1536.0,980.0,52.0,1385.0,690.0,0.0,-25461,25907.0,5803168000.0
078930,GS,92915378.0,163761.0,0.17624746680791634,122876,75.03373819163292,6666025500.0,23.52,40300.0,41000.0,40900.0,3.02,1.81,0.31,-34179.0,3359.0,-6310.0,-1282.0,4.0,0.0,-88455,88697.0,3627707300.0
