종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
005930,삼성전자,5969782550.0,11737747.0,0.19661933917509275,824042,7.020444383406799,870261519556.0,54.34,74200.0,74800.0,74100.0,0.14,9.2,1.28,-89590.0,204647.0,-58373.0,6001.0,-92737.0,10652.0,-731455,734452.0,54422893200.0
028300,HLB,130426978.0,5192630.0,3.981254553026599,600811,11.57045658943541,275681574100.0,16.97,49650.0,55000.0,54700.0,10.51,0.0,10.89,75364.0,6943.0,-1.0,31826.0,21096.0,,-658514,676175.0,36986772500.0
003670,포스코퓨처엠,77463220.0,612060.0,0.7901298190289533,85232,13.925432147175112,153643201000.0,7.16,257500.0,259000.0,251000.0,-3.83,164.37,7.86,-56739.0,11267.0,-4912.0,-11260.0,-60.0,3.0,-31521,28493.0,7151743000.0
000270,기아,402044203.0,3397759.0,0.8451207540480319,219082,6.44783811918385,309458422400.0,39.22,87100.0,93000.0,93000.0,5.8,6.89,0.95,313322.0,-38211.0,31155.0,70961.0,63481.0,-17.0,-532694,532404.0,49513572000.0
005490,POSCO홀딩스,84571230.0,740145.0,0.8751735075864452,50017,6.757729904275514,291373500000.0,27.5,395000.0,403500.0,400000.0,0.0,9.65,0.58,10534.0,27359.0,-4466.0,-9047.0,3495.0,-575.0,-67340,60551.0,24220400000.0
403870,HPSP,82844274.0,4376260.0,5.28251355066495,381629,8.720437085547934,222116490450.0,22.56,49600.0,52800.0,48300.0,-1.93,53.43,20.07,-74217.0,-24651.0,12361.0,-54706.0,-4515.0,,-303168,307412.0,14847999600.0
207940,삼성바이오로직스,71174000.0,96679.0,0.1358347149239891,23134,23.92867116954044,76316432000.0,11.0,795000.0,800000.0,785000.0,-0.38,68.61,6.22,-25776.0,-1687.0,-4651.0,-3179.0,-8317.0,-6.0,2625,-2642.0,-2073970000.0
450080,에코프로머티,68985218.0,2072291.0,3.0039638346870197,99284,4.7910259707734095,330255160900.0,1.13,167100.0,168900.0,157100.0,-9.19,534.35,28.94,4953.0,4443.0,-5393.0,-3179.0,8594.0,,-107985,104237.0,16375632700.0
454910,두산로보틱스,64819980.0,1360325.0,2.098619900839217,163486,12.018157425615202,106491068800.0,1.8,81700.0,82400.0,77900.0,-3.83,0.0,88.52,-85542.0,-2847.0,-6854.0,-20964.0,-17945.0,,-78062,77944.0,6071837600.0
086520,에코프로,26627668.0,363859.0,1.3664696435301806,25236,6.9356536460552025,178307066000.0,13.51,501000.0,501000.0,490500.0,-3.06,342.77,9.66,1046.0,2389.0,-1034.0,-148.0,825.0,,-23151,26282.0,12891321000.0
005380,현대차,211531506.0,778658.0,0.3681049762866057,60682,7.793151807340322,146597550900.0,33.72,184400.0,190500.0,188700.0,2.0,6.62,0.46,177843.0,32956.0,15269.0,34536.0,47885.0,5.0,-235195,238525.0,45009667500.0
015760,한국전력,641964077.0,1987949.0,0.30966670429442117,608143,30.5914789564521,37517653160.0,13.99,18390.0,19160.0,19160.0,4.19,0.0,0.3,550388.0,202001.0,115814.0,10515.0,114517.0,,-1169773,1158531.0,22197453960.0
011170,롯데케미칼,42775419.0,347513.0,0.8124128486035402,81368,23.414375865075552,46393618300.0,25.44,128700.0,137000.0,136900.0,6.37,79.78,0.34,13749.0,1659.0,10958.0,-22108.0,-5391.0,27.0,-93911,95117.0,13021517300.0
001570,금양,58050037.0,745916.0,1.28495353069284,139338,18.680119477260174,56039080800.0,8.94,77900.0,78400.0,75100.0,-4.94,0.0,34.32,-7.0,2984.0,-17.0,-2960.0,-14.0,,-138760,139331.0,10463758100.0
036930,주성엔지니어링,48249212.0,4450917.0,9.22484910219881,230319,5.174641540159028,162053310650.0,10.64,35450.0,37650.0,35100.0,2.48,15.88,3.47,41750.0,-25048.0,20885.0,-7815.0,-2503.0,,-261686,272069.0,9549621900.0
417200,LS머트리얼즈,67652659.0,3446111.0,5.093829349708192,231439,6.715947338898834,109295130750.0,0.73,33700.0,33700.0,31450.0,-8.31,191.77,16.76,-500.0,-500.0,,,,,-181480,230939.0,7263031550.0
030200,KT,257860760.0,531608.0,0.2061608753499369,196275,36.92100194128004,18113794800.0,43.2,33550.0,34500.0,34200.0,1.48,6.57,0.53,3313.0,10870.0,-12495.0,42751.0,12847.0,1041.0,-202865,199588.0,6825909600.0
352820,하이브,41652097.0,265472.0,0.6373556654302422,26999,10.17018743972999,57110710000.0,21.05,221500.0,222500.0,216000.0,-2.7,170.75,3.22,-26571.0,-2432.0,-8465.0,1366.0,-496.0,1500.0,1852,428.0,92448000.0
098460,고영,68654755.0,27125503.0,39.51001354531088,274223,1.0109416219857748,555730726270.0,43.66,18730.0,21700.0,21050.0,14.53,36.04,4.62,-49622.0,-88076.0,-21754.0,16688.0,46104.0,,-239032,224601.0,4727851050.0
105560,KB금융,403511072.0,1478934.0,0.36651633688009433,100913,6.823360609736473,77740890065.0,72.7,51700.0,52900.0,52900.0,1.54,4.83,0.43,81877.0,-45226.0,26187.0,-78343.0,4397.0,10091.0,-184206,182790.0,9669591000.0
084370,유진테크,22916042.0,857657.0,3.7426052893427237,103188,12.031383175325335,39224209250.0,24.3,43750.0,47000.0,46600.0,8.62,27.46,3.19,96190.0,-8236.0,-3574.0,94468.0,7613.0,,-205532,199378.0,9291014800.0
017670,SK텔레콤,218833144.0,262668.0,0.12003117772689863,94268,35.88865031141974,12961807500.0,41.38,49200.0,49450.0,49400.0,0.41,12.0,0.95,-36226.0,16895.0,-20954.0,-3982.0,-91.0,20.0,-58290,58042.0,2867274800.0
008930,한미사이언스,69956940.0,4090223.0,5.846772314512327,96030,2.347793751098657,178963727900.0,1.51,40500.0,45800.0,43900.0,10.03,43.47,4.11,6618.0,-1864.0,-727.0,2858.0,3929.0,,-103705,102648.0,4506247200.0
010140,삼성중공업,880000000.0,2831283.0,0.32173670454545455,534647,18.88355914968585,21295730700.0,20.48,7470.0,7590.0,7570.0,1.2,0.0,1.8,225235.0,77844.0,6303.0,53641.0,2871.0,,-765575,759882.0,5752306740.0
036540,SFA반도체,164460303.0,41968052.0,25.51865175634512,557868,1.3292682729234133,324466342400.0,5.53,7670.0,8120.0,7380.0,-1.34,28.17,2.66,15110.0,18765.0,,-9886.0,-1078.0,,-668592,572978.0,4228577640.0
000720,현대건설,111355765.0,482447.0,0.4332483369855166,126120,26.141731630624708,15312050400.0,22.9,31250.0,32350.0,32050.0,2.07,8.81,0.46,-44444.0,15671.0,-7634.0,-56624.0,-668.0,,-91582,81676.0,2617715800.0
009520,포스코엠텍,41642703.0,653307.0,1.5688390832842913,158554,24.26944759508164,15566094700.0,3.57,23900.0,24300.0,23850.0,-2.25,205.6,8.67,23.0,-84.0,,,107.0,,-150308,158577.0,3782061450.0
047810,한국항공우주,97475107.0,364888.0,0.37433967628268416,68118,18.668194075990442,19694685700.0,28.64,53800.0,54600.0,53800.0,-0.37,44.28,3.67,-32969.0,-26796.0,-234.0,-6041.0,-83.0,,-32787,35149.0,1891016200.0
034020,두산에너빌리티,640561146.0,2985230.0,0.46603357363170445,244248,8.181882133034977,43498762680.0,14.91,14840.0,14870.0,14870.0,0.07,0.0,1.33,-258437.0,-157941.0,-2383.0,-1630.0,-548.0,,37567,-14189.0,-210990430.0
