종목코드,종목명,상장주식수,거래량,거래량(%),외국인순매수,외국인매수(%),거래대금,지분율,시가,고가,종가,등락률,PER,PBR,기관전체순매수,금융투자순매수,보험순매수,투신순매수,사모순매수,은행순매수,개인순매수,외국인기관순매수,외국인기관순매수금액
005930,삼성전자,5969782550.0,21753644.0,0.3643959192449983,381252,1.75258912943505,1691690834824.0,54.06,78500.0,78800.0,77000.0,-3.27,9.56,1.33,-3892083.0,-3665260.0,-33988.0,-364798.0,-269396.0,-246.0,3585628,-3510831.0,-270333987000.0
000270,기아,402044203.0,1694613.0,0.42149917530336833,303693,17.921082866707618,160580263400.0,39.2,96500.0,96800.0,93800.0,-3.89,6.95,0.96,-488795.0,-305540.0,-20574.0,-25196.0,-81958.0,15.0,181730,-185102.0,-17362567600.0
068760,셀트리온제약,39610243.0,8923453.0,22.528145055812963,183779,2.0595054403267437,1133631781000.0,8.77,122100.0,133300.0,129100.0,7.76,205.57,14.96,98519.0,-25903.0,468.0,38062.0,40670.0,414.0,-287330,282298.0,36444671800.0
068270,셀트리온,146402770.0,1896462.0,1.2953730315348542,99083,5.224623535826186,433142486000.0,20.66,228500.0,233000.0,231500.0,0.0,61.72,8.0,-38239.0,-121651.0,7308.0,-26315.0,-720.0,80.0,-70272,60844.0,14085386000.0
033780,KT&G,133822497.0,345004.0,0.25780717572472134,239390,69.3876013031733,30951540300.0,42.47,89200.0,90500.0,89900.0,0.67,10.59,1.12,-118505.0,-86060.0,1059.0,6154.0,-5293.0,93.0,-111431,120885.0,10867561500.0
047810,한국항공우주,97475107.0,2214096.0,2.271447622006714,378005,17.072656289519514,118995396000.0,27.53,51500.0,55000.0,54600.0,6.43,44.94,3.73,403551.0,-11443.0,64731.0,113367.0,47871.0,842.0,-796257,781556.0,42672957600.0
267260,HD현대일렉트릭,36047135.0,767960.0,2.130432834676043,165338,21.529506745142974,66071138700.0,20.38,82500.0,90000.0,85800.0,7.12,19.01,3.75,-73887.0,-22180.0,7484.0,-22131.0,-22540.0,-1002.0,-73747,91451.0,7846495800.0
035420,NAVER,162408594.0,690960.0,0.4254454662663972,52076,7.536760449230057,153542219000.0,48.34,223500.0,224000.0,222000.0,-2.42,44.34,1.46,-188620.0,-144391.0,-515.0,-15709.0,-4820.0,-479.0,132269,-136544.0,-30312768000.0
247540,에코프로비엠,97801344.0,639495.0,0.6538713823810028,41653,6.513420746057435,174975007000.0,7.71,278000.0,280000.0,271500.0,-4.23,94.24,19.45,-129302.0,-112441.0,-1408.0,-7927.0,620.0,,87924,-87649.0,-23796703500.0
450080,에코프로머티,68985218.0,1415030.0,2.0512075500000595,53733,3.797304650784789,286834263900.0,1.06,197200.0,209000.0,206000.0,3.05,700.68,37.95,-36434.0,-31849.0,1101.0,3875.0,-15376.0,,-14059,17299.0,3563594000.0
